Player characters	Brahmin Bess	McBess.msg
Player characters	John Cassidy	VCCasidy.msg
Player characters	Davin	McDavin.msg
Player characters	Dogmeat	Ecdogmet.msg
Player characters	Pariah dog	Ecpdog.msg
Player characters	Laddie	McLaddie.msg
Player characters	Goris	Ocgoris.msg
Player characters	Robodog	Scrobo.msg
Player characters	K-9	Cck9.msg
Player characters	Lenny	GCLENNY.MSG
Player characters	Marcus	HcMARCUS.msg
Player characters	Miria	McMiria.msg
Player characters	Myron	NhMyron.msg
Player characters	Skynet	WCBRNBOT.MSG
Player characters	Sulik	KCSULIK.MSG
Player characters	Vic	DcVic.msg
Arroyo	Arroyo elder	AHELDER.MSG
Arroyo	Cameron	ACTEMVIL.MSG
Arroyo	Feargus	ACERIC.MSG
Arroyo	Hakunin	AHHAKUN.MSG
Arroyo	Jordan	ACJORDAN.MSG
Arroyo	Klint	ACKLINT.MSG
Arroyo	Lucas	ACFIST.MSG
Arroyo	Morlis	ACMORLIS.MSG
Arroyo	Mynoc	ACMynoc.msg
Arroyo	Nagor	ACNAGOR.MSG
Arroyo	Smoke	none
Klamath	Aldo	KCALDO.MSG
Klamath	Ardin Buckner	KCARDIN.MSG
Klamath	Buck Dunton	KCDUNTON.MSG
Klamath	Chuck Dunton	KCDUNTON.MSG
Klamath	Jenny	ACFIST.MSG
Klamath	John L. Sullivan	Hcsulvan.msg
Klamath	Keeng Ra'at	KCRATGOD.MSG
Klamath	Maida Buckner	KCMAIDA.MSG
Klamath	Sajag	KCSAJAG.MSG
Klamath	Sally Dunton	KCSALLY.MSG
Klamath	Slim Picket	KCSLIM.MSG
Klamath	Smiley	KCSMILEY.MSG
Klamath	Sulik	KCSULIK.MSG
Klamath	Torr Buckner	KCTORR.MSG
Klamath	Whiskey Bob	KCBOB.MSG
Den West Side	Anna Winslow	DcAnna.msg
Den West Side	Flick	DcFlick.msg
Den West Side	Fred	DcFred.msg
Den West Side	Great Ananias	dcAnan.msg
Den West Side	Joey	DcJoey.msg
Den West Side	Joshua	FCDJOSH.MSG
Den West Side	Lara	DcLara.msg
Den West Side	Leanne	Dcstory1.msg
Den West Side	Rebecca Dyer	DcRebecc.msg
Den West Side	Smitty	DcSmitty.msg
Den West Side	Tubby	DcTubby.msg
Den West Side	Woody	DcAnan.msg
Den East Side	Aidan	DcSlvGrt.msg
Den East Side	Billy	DcBilly.msg
Den East Side	Derek	DcDerek.msg
Den East Side	Frankie	DcFranki.msg
Den East Side	Karl	McKarl.msg
Den East Side	Metzger	DcMetzge.msg
Den East Side	Marc	DcMarc.msg
Den East Side	Mom	DcMom.msg
Den East Side	Sheila	DcSheila.msg
Den East Side	Stacy	Dcstory2.msg
Den East Side	Tyler	DcTyler.msg
